[0], iter. T, 0.561816, dist. T, 0.550180, 
[1], iter. T, 0.841211, dist. T, 0.632731, 
[2], iter. T, 0.434844, dist. T, 0.345941, 
[3], iter. T, 0.138771, dist. T, 0.095141, 
[4], iter. T, 0.088008, dist. T, 0.055222, 
[5], iter. T, 0.116586, dist. T, 0.088048, 
[6], iter. T, 0.078426, dist. T, 0.053726, 
[7], iter. T, 0.086928, dist. T, 0.067125, 
[8], iter. T, 0.107620, dist. T, 0.089021, 
[9], iter. T, 0.072881, dist. T, 0.055176, 
[10], iter. T, 0.059184, dist. T, 0.044122, 
[11], iter. T, 0.079593, dist. T, 0.064794, 
[0], iter. T, 0.062580, dist. T, 0.053942, 
[1], iter. T, 0.338364, dist. T, 0.169318, 
[2], iter. T, 0.124655, dist. T, 0.066737, 
[3], iter. T, 0.119335, dist. T, 0.081327, 
[4], iter. T, 0.294988, dist. T, 0.263696, 
[5], iter. T, 0.089573, dist. T, 0.067673, 
[6], iter. T, 0.174050, dist. T, 0.154364, 
[0], iter. T, 0.057348, dist. T, 0.048540, 
[1], iter. T, 0.245826, dist. T, 0.091017, 
[2], iter. T, 0.120179, dist. T, 0.049940, 
[3], iter. T, 0.335103, dist. T, 0.295022, 
[4], iter. T, 0.147592, dist. T, 0.121193, 
[5], iter. T, 0.289902, dist. T, 0.268358, 
[6], iter. T, 0.059840, dist. T, 0.042505, 
[0], iter. T, 0.063114, dist. T, 0.054643, 
[1], iter. T, 0.465068, dist. T, 0.225582, 
[2], iter. T, 0.156960, dist. T, 0.091142, 
[3], iter. T, 0.083079, dist. T, 0.042933, 
[4], iter. T, 0.578386, dist. T, 0.548343, 
[5], iter. T, 0.075107, dist. T, 0.051625, 
[6], iter. T, 0.336391, dist. T, 0.313866, 
[7], iter. T, 0.157961, dist. T, 0.137373, 
[8], iter. T, 0.294674, dist. T, 0.277246, 
[9], iter. T, 0.356494, dist. T, 0.342760, 
[0], iter. T, 0.054632, dist. T, 0.045908, 
[1], iter. T, 0.381839, dist. T, 0.237315, 
[2], iter. T, 0.260792, dist. T, 0.207400, 
[3], iter. T, 0.108213, dist. T, 0.073853, 
[4], iter. T, 0.151596, dist. T, 0.125724, 
[5], iter. T, 0.106861, dist. T, 0.085097, 
[6], iter. T, 0.062806, dist. T, 0.043672, 
[0], iter. T, 0.065593, dist. T, 0.056828, 
[1], iter. T, 0.136668, dist. T, 0.058911, 
[2], iter. T, 0.213755, dist. T, 0.172917, 
[3], iter. T, 0.117748, dist. T, 0.086243, 
[4], iter. T, 0.083114, dist. T, 0.057676, 
[5], iter. T, 0.219157, dist. T, 0.195991, 
[6], iter. T, 0.063526, dist. T, 0.043747, 
[0], iter. T, 0.058407, dist. T, 0.049730, 
[1], iter. T, 0.180651, dist. T, 0.044593, 
[2], iter. T, 0.128297, dist. T, 0.073826, 
[3], iter. T, 0.143151, dist. T, 0.107958, 
[4], iter. T, 0.212134, dist. T, 0.182706, 
[5], iter. T, 0.306766, dist. T, 0.283650, 
[6], iter. T, 0.062994, dist. T, 0.043558, 
[7], iter. T, 0.120607, dist. T, 0.104053, 
[0], iter. T, 0.059572, dist. T, 0.050866, 
[1], iter. T, 0.182748, dist. T, 0.057382, 
[2], iter. T, 0.121742, dist. T, 0.067090, 
[3], iter. T, 0.167696, dist. T, 0.133930, 
[4], iter. T, 0.178199, dist. T, 0.153352, 
[5], iter. T, 0.093709, dist. T, 0.073471, 
[6], iter. T, 0.064310, dist. T, 0.046360, 
[0], iter. T, 0.088552, dist. T, 0.079672, 
[1], iter. T, 0.272265, dist. T, 0.139100, 
[2], iter. T, 0.237084, dist. T, 0.172051, 
[3], iter. T, 0.199043, dist. T, 0.159769, 
[4], iter. T, 0.098152, dist. T, 0.066074, 
[5], iter. T, 0.112028, dist. T, 0.091157, 
[6], iter. T, 0.072505, dist. T, 0.053711, 
[0], iter. T, 0.065308, dist. T, 0.056334, 
[1], iter. T, 0.166106, dist. T, 0.079804, 
[2], iter. T, 0.186174, dist. T, 0.139961, 
[3], iter. T, 0.225650, dist. T, 0.193945, 
[4], iter. T, 0.157661, dist. T, 0.130905, 
[5], iter. T, 0.258847, dist. T, 0.238907, 
[0], iter. T, 0.136971, dist. T, 0.128195, 
[1], iter. T, 0.146999, dist. T, 0.066531, 
[2], iter. T, 0.465226, dist. T, 0.420486, 
[3], iter. T, 0.174588, dist. T, 0.142702, 
[4], iter. T, 0.144565, dist. T, 0.119399, 
[5], iter. T, 0.201115, dist. T, 0.181496, 
[6], iter. T, 0.058161, dist. T, 0.041968, 
[0], iter. T, 0.330246, dist. T, 0.321636, 
[1], iter. T, 0.167145, dist. T, 0.089610, 
[2], iter. T, 0.140970, dist. T, 0.096769, 
[3], iter. T, 0.472507, dist. T, 0.428967, 
[4], iter. T, 0.264425, dist. T, 0.215531, 
[5], iter. T, 0.372302, dist. T, 0.350257, 
[6], iter. T, 0.469891, dist. T, 0.451453, 
[0], iter. T, 0.467763, dist. T, 0.457696, 
[1], iter. T, 0.544331, dist. T, 0.272144, 
[2], iter. T, 0.383365, dist. T, 0.306447, 
[3], iter. T, 0.122561, dist. T, 0.072351, 
[4], iter. T, 0.423295, dist. T, 0.392599, 
[5], iter. T, 0.271640, dist. T, 0.244714, 
[6], iter. T, 0.130669, dist. T, 0.107085, 
[7], iter. T, 0.077640, dist. T, 0.055713, 
[8], iter. T, 0.141302, dist. T, 0.124976, 
[0], iter. T, 0.079770, dist. T, 0.067378, 
[1], iter. T, 0.331913, dist. T, 0.183854, 
[2], iter. T, 1.393830, dist. T, 1.335911, 
[3], iter. T, 0.103625, dist. T, 0.068519, 
[4], iter. T, 0.547236, dist. T, 0.519498, 
[5], iter. T, 0.100553, dist. T, 0.079568, 
[6], iter. T, 0.088088, dist. T, 0.071244, 
[0], iter. T, 1.094671, dist. T, 1.085447, 
[1], iter. T, 0.428362, dist. T, 0.333102, 
[2], iter. T, 1.766643, dist. T, 1.716536, 
[3], iter. T, 1.934002, dist. T, 1.894619, 
[4], iter. T, 0.498330, dist. T, 0.471547, 
[5], iter. T, 0.725856, dist. T, 0.705299, 
[6], iter. T, 1.106341, dist. T, 1.085214, 
[0], iter. T, 0.152988, dist. T, 0.144048, 
[1], iter. T, 0.786252, dist. T, 0.699690, 
[2], iter. T, 0.648618, dist. T, 0.601805, 
[3], iter. T, 0.740664, dist. T, 0.702960, 
[4], iter. T, 0.290515, dist. T, 0.267491, 
[5], iter. T, 0.111728, dist. T, 0.090513, 
[6], iter. T, 1.727180, dist. T, 1.709811, 
[0], iter. T, 1.421826, dist. T, 1.412480, 
[1], iter. T, 2.694998, dist. T, 2.592269, 
[2], iter. T, 0.811531, dist. T, 0.763970, 
[3], iter. T, 7.270220, dist. T, 7.207231, 
[4], iter. T, 0.123653, dist. T, 0.065363, 
[5], iter. T, 0.369605, dist. T, 0.348049, 
[6], iter. T, 0.059731, dist. T, 0.043599, 
[0], iter. T, 0.123351, dist. T, 0.114701, 
[1], iter. T, 0.456360, dist. T, 0.331478, 
[2], iter. T, 0.351179, dist. T, 0.300614, 
[3], iter. T, 0.195363, dist. T, 0.163072, 
[4], iter. T, 0.447808, dist. T, 0.422584, 
[5], iter. T, 0.139556, dist. T, 0.118032, 
[6], iter. T, 0.233686, dist. T, 0.215574, 
[0], iter. T, 0.154538, dist. T, 0.145708, 
[1], iter. T, 0.522312, dist. T, 0.357350, 
[2], iter. T, 0.414240, dist. T, 0.341660, 
[3], iter. T, 0.834765, dist. T, 0.791785, 
[4], iter. T, 0.095097, dist. T, 0.068796, 
[5], iter. T, 0.548212, dist. T, 0.527412, 
[6], iter. T, 0.106810, dist. T, 0.089910, 
[0], iter. T, 0.058203, dist. T, 0.049317, 
[1], iter. T, 0.171629, dist. T, 0.070536, 
[2], iter. T, 0.111777, dist. T, 0.043355, 
[3], iter. T, 0.566821, dist. T, 0.529377, 
[4], iter. T, 0.069703, dist. T, 0.043506, 
[5], iter. T, 0.086734, dist. T, 0.065660, 
[6], iter. T, 0.596861, dist. T, 0.579684, 
[0], iter. T, 0.054115, dist. T, 0.045456, 
[1], iter. T, 0.166221, dist. T, 0.071711, 
[2], iter. T, 0.532590, dist. T, 0.483283, 
[3], iter. T, 0.576314, dist. T, 0.542952, 
[4], iter. T, 0.336575, dist. T, 0.310587, 
[5], iter. T, 0.075633, dist. T, 0.053631, 
[6], iter. T, 0.063626, dist. T, 0.044271, 
[0], iter. T, 0.430913, dist. T, 0.418687, 
[1], iter. T, 0.889817, dist. T, 0.758542, 
[2], iter. T, 0.660580, dist. T, 0.602913, 
[3], iter. T, 0.891410, dist. T, 0.855072, 
[4], iter. T, 0.876092, dist. T, 0.850642, 
[5], iter. T, 0.612289, dist. T, 0.591668, 
[6], iter. T, 0.519989, dist. T, 0.502655, 
[0], iter. T, 0.224238, dist. T, 0.215518, 
[1], iter. T, 0.339869, dist. T, 0.232704, 
[2], iter. T, 0.395721, dist. T, 0.342765, 
[3], iter. T, 0.129588, dist. T, 0.091412, 
[4], iter. T, 0.132763, dist. T, 0.104750, 
[5], iter. T, 0.087165, dist. T, 0.064979, 
[6], iter. T, 0.439331, dist. T, 0.420948, 
[0], iter. T, 0.552748, dist. T, 0.543559, 
[1], iter. T, 0.531645, dist. T, 0.356852, 
[2], iter. T, 0.338320, dist. T, 0.275347, 
[3], iter. T, 0.082422, dist. T, 0.044709, 
[4], iter. T, 0.146730, dist. T, 0.117364, 
[5], iter. T, 0.444360, dist. T, 0.419824, 
[6], iter. T, 0.073830, dist. T, 0.054320, 
[0], iter. T, 0.211326, dist. T, 0.195082, 
[1], iter. T, 0.899678, dist. T, 0.792493, 
[2], iter. T, 0.462615, dist. T, 0.406064, 
[3], iter. T, 0.298850, dist. T, 0.260855, 
[4], iter. T, 0.449494, dist. T, 0.424174, 
[5], iter. T, 0.185099, dist. T, 0.164354, 
[6], iter. T, 0.444435, dist. T, 0.426733, 
[0], iter. T, 0.220699, dist. T, 0.211595, 
[1], iter. T, 0.468645, dist. T, 0.342241, 
[2], iter. T, 0.200440, dist. T, 0.141298, 
[3], iter. T, 0.187844, dist. T, 0.151549, 
[4], iter. T, 0.316883, dist. T, 0.290713, 
[5], iter. T, 0.151315, dist. T, 0.130334, 
[6], iter. T, 0.256942, dist. T, 0.239148, 
[0], iter. T, 0.054132, dist. T, 0.045713, 
[1], iter. T, 0.279675, dist. T, 0.157332, 
[2], iter. T, 0.108568, dist. T, 0.046325, 
[3], iter. T, 0.084561, dist. T, 0.051204, 
[4], iter. T, 0.271720, dist. T, 0.246191, 
[5], iter. T, 0.073477, dist. T, 0.052758, 
[6], iter. T, 0.077034, dist. T, 0.060681, 
[0], iter. T, 0.062252, dist. T, 0.053496, 
[1], iter. T, 0.181203, dist. T, 0.095848, 
[2], iter. T, 0.458811, dist. T, 0.414778, 
[3], iter. T, 0.077876, dist. T, 0.046075, 
[4], iter. T, 0.188045, dist. T, 0.163198, 
[5], iter. T, 0.133300, dist. T, 0.114900, 
[0], iter. T, 0.055636, dist. T, 0.046853, 
[1], iter. T, 0.313924, dist. T, 0.184779, 
[2], iter. T, 0.321453, dist. T, 0.257071, 
[3], iter. T, 0.120794, dist. T, 0.082513, 
[4], iter. T, 0.126621, dist. T, 0.101351, 
[5], iter. T, 0.191478, dist. T, 0.171703, 
[0], iter. T, 0.203874, dist. T, 0.195013, 
[1], iter. T, 0.306641, dist. T, 0.195751, 
[2], iter. T, 0.307846, dist. T, 0.254785, 
[3], iter. T, 0.284457, dist. T, 0.233274, 
[4], iter. T, 0.086035, dist. T, 0.063099, 
[5], iter. T, 0.697092, dist. T, 0.676242, 
[6], iter. T, 0.805009, dist. T, 0.788261, 
[0], iter. T, 0.223367, dist. T, 0.214743, 
[1], iter. T, 4.492783, dist. T, 4.278905, 
[2], iter. T, 0.388421, dist. T, 0.301109, 
[3], iter. T, 0.484655, dist. T, 0.442501, 
[4], iter. T, 0.420256, dist. T, 0.390073, 
[5], iter. T, 0.137698, dist. T, 0.114699, 
[6], iter. T, 0.065343, dist. T, 0.045507, 
[7], iter. T, 0.060918, dist. T, 0.043044, 
[0], iter. T, 0.179412, dist. T, 0.170801, 
[1], iter. T, 0.277951, dist. T, 0.158456, 
[2], iter. T, 0.189932, dist. T, 0.137896, 
[3], iter. T, 0.255599, dist. T, 0.193820, 
[4], iter. T, 0.362480, dist. T, 0.321675, 
[5], iter. T, 0.229513, dist. T, 0.208562, 
[6], iter. T, 0.365454, dist. T, 0.347927, 
[0], iter. T, 1.288172, dist. T, 1.278724, 
[1], iter. T, 0.414334, dist. T, 0.293127, 
[2], iter. T, 0.501212, dist. T, 0.442692, 
[3], iter. T, 0.079666, dist. T, 0.044208, 
[4], iter. T, 0.284355, dist. T, 0.255325, 
[5], iter. T, 0.186885, dist. T, 0.164607, 
[6], iter. T, 0.199160, dist. T, 0.182171, 
[0], iter. T, 0.057147, dist. T, 0.048388, 
[1], iter. T, 0.277098, dist. T, 0.113728, 
[2], iter. T, 0.155858, dist. T, 0.094418, 
[3], iter. T, 0.098293, dist. T, 0.060320, 
[4], iter. T, 0.437475, dist. T, 0.410454, 
[5], iter. T, 0.780259, dist. T, 0.759115, 
[6], iter. T, 0.142002, dist. T, 0.123018, 
[0], iter. T, 0.054592, dist. T, 0.046047, 
[1], iter. T, 0.232681, dist. T, 0.134286, 
[2], iter. T, 0.388856, dist. T, 0.340028, 
[3], iter. T, 0.082163, dist. T, 0.044513, 
[4], iter. T, 0.091213, dist. T, 0.064536, 
[5], iter. T, 0.349259, dist. T, 0.330121, 
[0], iter. T, 0.100411, dist. T, 0.091134, 
[1], iter. T, 0.488615, dist. T, 0.337761, 
[2], iter. T, 0.146878, dist. T, 0.093262, 
[3], iter. T, 0.080428, dist. T, 0.043786, 
[4], iter. T, 0.197120, dist. T, 0.167583, 
[5], iter. T, 0.091808, dist. T, 0.069366, 
[6], iter. T, 0.065047, dist. T, 0.043483, 
[7], iter. T, 0.063325, dist. T, 0.045306, 
[0], iter. T, 0.057528, dist. T, 0.048611, 
[1], iter. T, 0.555049, dist. T, 0.220040, 
[2], iter. T, 0.160731, dist. T, 0.071564, 
[3], iter. T, 0.183334, dist. T, 0.137120, 
[4], iter. T, 0.102368, dist. T, 0.068167, 
[5], iter. T, 0.112682, dist. T, 0.083092, 
[6], iter. T, 0.070721, dist. T, 0.043819, 
[7], iter. T, 0.123023, dist. T, 0.098372, 
[8], iter. T, 0.065401, dist. T, 0.045819, 
[0], iter. T, 0.056313, dist. T, 0.047787, 
[1], iter. T, 0.244701, dist. T, 0.087782, 
[2], iter. T, 0.200653, dist. T, 0.141485, 
[3], iter. T, 0.246067, dist. T, 0.208974, 
[4], iter. T, 0.173397, dist. T, 0.146937, 
[5], iter. T, 0.162347, dist. T, 0.139694, 
[6], iter. T, 0.231566, dist. T, 0.209704, 
[0], iter. T, 0.054652, dist. T, 0.045725, 
[1], iter. T, 0.328512, dist. T, 0.183054, 
[2], iter. T, 0.099215, dist. T, 0.044465, 
[3], iter. T, 0.174979, dist. T, 0.138259, 
[4], iter. T, 0.090947, dist. T, 0.067422, 
[5], iter. T, 0.064997, dist. T, 0.044118, 
[6], iter. T, 0.061574, dist. T, 0.044989, 
[0], iter. T, 0.058894, dist. T, 0.050235, 
[1], iter. T, 0.391763, dist. T, 0.231919, 
[2], iter. T, 0.148354, dist. T, 0.085546, 
[3], iter. T, 0.216462, dist. T, 0.177963, 
[4], iter. T, 0.131452, dist. T, 0.103370, 
[5], iter. T, 0.333168, dist. T, 0.310850, 
[6], iter. T, 0.085710, dist. T, 0.067728, 
[0], iter. T, 0.053720, dist. T, 0.045179, 
[1], iter. T, 0.451121, dist. T, 0.212265, 
[2], iter. T, 0.132183, dist. T, 0.068830, 
[3], iter. T, 0.302634, dist. T, 0.264837, 
[4], iter. T, 0.077274, dist. T, 0.047997, 
[5], iter. T, 0.292781, dist. T, 0.265055, 
[6], iter. T, 0.247989, dist. T, 0.224825, 
[7], iter. T, 0.089354, dist. T, 0.069522, 
[8], iter. T, 0.136691, dist. T, 0.119265, 
[0], iter. T, 0.070229, dist. T, 0.059724, 
[1], iter. T, 0.228628, dist. T, 0.105057, 
[2], iter. T, 0.359410, dist. T, 0.309608, 
[3], iter. T, 0.148639, dist. T, 0.111701, 
[4], iter. T, 0.244388, dist. T, 0.219686, 
[5], iter. T, 0.112032, dist. T, 0.091974, 
[0], iter. T, 0.150809, dist. T, 0.142133, 
[1], iter. T, 0.367929, dist. T, 0.192282, 
[2], iter. T, 0.150771, dist. T, 0.087590, 
[3], iter. T, 0.233997, dist. T, 0.198561, 
[4], iter. T, 0.069259, dist. T, 0.044061, 
[5], iter. T, 0.077708, dist. T, 0.056858, 
[6], iter. T, 0.152944, dist. T, 0.134093, 
[0], iter. T, 0.187390, dist. T, 0.178850, 
[1], iter. T, 0.380037, dist. T, 0.174900, 
[2], iter. T, 0.434645, dist. T, 0.354813, 
[3], iter. T, 0.262809, dist. T, 0.219520, 
[4], iter. T, 0.121859, dist. T, 0.069952, 
[5], iter. T, 0.284845, dist. T, 0.255011, 
[6], iter. T, 0.132322, dist. T, 0.111336, 
[7], iter. T, 0.070105, dist. T, 0.051978, 
[0], iter. T, 0.056541, dist. T, 0.048135, 
[1], iter. T, 0.144563, dist. T, 0.053490, 
[2], iter. T, 0.158238, dist. T, 0.111107, 
[3], iter. T, 0.085552, dist. T, 0.054233, 
[4], iter. T, 0.091491, dist. T, 0.066361, 
[5], iter. T, 0.078456, dist. T, 0.057677, 
[0], iter. T, 0.063230, dist. T, 0.054530, 
[1], iter. T, 0.212017, dist. T, 0.122363, 
[2], iter. T, 0.267324, dist. T, 0.220192, 
[3], iter. T, 0.331910, dist. T, 0.299325, 
[4], iter. T, 0.085349, dist. T, 0.060608, 
[5], iter. T, 0.102078, dist. T, 0.081939, 
[6], iter. T, 0.174901, dist. T, 0.157900, 
[0], iter. T, 0.057932, dist. T, 0.049319, 
[1], iter. T, 0.341400, dist. T, 0.221032, 
[2], iter. T, 0.183558, dist. T, 0.132423, 
[3], iter. T, 0.083682, dist. T, 0.048120, 
[4], iter. T, 0.294802, dist. T, 0.269346, 
[5], iter. T, 0.065069, dist. T, 0.043953, 
[6], iter. T, 0.121338, dist. T, 0.104763, 
[0], iter. T, 0.289880, dist. T, 0.281350, 
[1], iter. T, 0.220411, dist. T, 0.100871, 
[2], iter. T, 0.139884, dist. T, 0.086643, 
[3], iter. T, 0.078892, dist. T, 0.044287, 
[4], iter. T, 0.147993, dist. T, 0.120608, 
[5], iter. T, 0.067587, dist. T, 0.044909, 
[6], iter. T, 0.149424, dist. T, 0.130329, 
[0], iter. T, 0.121758, dist. T, 0.111934, 
[1], iter. T, 0.392761, dist. T, 0.301770, 
[2], iter. T, 0.258130, dist. T, 0.212006, 
[3], iter. T, 0.075615, dist. T, 0.044847, 
[4], iter. T, 0.072196, dist. T, 0.047588, 
[5], iter. T, 0.262664, dist. T, 0.241319, 
[6], iter. T, 0.066104, dist. T, 0.048723, 
[0], iter. T, 0.146127, dist. T, 0.137041, 
[1], iter. T, 0.204500, dist. T, 0.059452, 
[2], iter. T, 0.276328, dist. T, 0.214386, 
[3], iter. T, 0.372093, dist. T, 0.334018, 
[4], iter. T, 0.112354, dist. T, 0.083294, 
[5], iter. T, 0.170255, dist. T, 0.145085, 
[6], iter. T, 0.099659, dist. T, 0.078258, 
[7], iter. T, 0.110262, dist. T, 0.092283, 
[0], iter. T, 0.055521, dist. T, 0.046707, 
